track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,album,release_type,release_date,explicit,artists,target_popularity,days_since_release,num_artists,has_features,num_words_in_title,num_words_in_album,num_hit_words_track,num_flop_words_track,num_hit_words_album,num_flop_words_album
Union Lads,0.489,0.761,2,-7.783,1,0.122,0.382,0.00107,0.449,0.704,145.98,153987,4,41.60176,7,Blow Away Your Troubles,album,1981-01-01,False,The Cleaners From Venus,0,15806,1,False,2,4,0,0,0,0
"Akhnaten: Act I, Scene 1: Funeral of Amenhotep III",0.437,0.509,1,-13.568,0,0.0662,0.9,0.91,0.498,0.247,177.975,539800,4,32.98733,27,Glass: Akhnaten,album,1987-01-01,False,Philip Glass&&Dennis Russell Davies&&Stuttgart State Opera Orchestra,0,13615,3,True,9,2,0,0,0,0
Long Distance Man,0.625,0.354,3,-11.935,0,0.037,0.296,0.0,0.0669,0.512,123.504,77267,4,33.52912,5,Sandbox,album,1987-01-01,False,Guided By Voices,0,13615,1,False,3,1,2,1,0,0
And This Is What the Devil Does,0.625,0.943,9,-5.349,0,0.0667,0.0128,0.0911,0.187,0.741,113.235,357500,4,36.63577,11,I See Good Spirits and I See Bad Spirits,album,1988-11-23,False,My Life With The Thrill Kill Kult,0,12923,1,False,7,9,0,0,2,1
Liar's Tale,0.675,0.25,10,-18.032,1,0.0563,0.98,0.661,0.0895,0.573,138.509,117040,4,57.56147,6,Self-Inflicted Aerial Nostalgia,album,1989-01-01,False,Guided By Voices,0,12884,1,False,2,3,0,0,0,0
Como uma onda - Zen-surfismo,0.85,0.422,10,-13.945,0,0.0569,0.405,0.000117,0.0541,0.805,116.85,217027,4,28.2018,11,O Último Romântico,album,1983-10-20,False,Lulu Santos,1,14784,1,False,5,3,0,0,0,0
Criticize,0.659,0.759,11,-12.455,0,0.0436,0.0792,1.09e-06,0.0564,0.74,116.943,247400,4,46.19485,9,Hearsay,album,1987-07-29,False,Alexander O'Neal,1,13406,1,False,1,1,0,0,0,0
A Million Miles Away,0.396,0.793,4,-10.179,0,0.0399,0.0208,8.26e-06,0.105,0.687,155.194,215200,4,46.18087,10,Everywhere At Once,album,1983-01-01,False,The Plimsouls,0,15076,1,False,4,3,1,1,0,0
Moans,0.518,0.83,5,-12.615,0,0.0384,0.0516,0.141,0.196,0.274,130.838,237333,4,55.44617,8,Cut Up,album,1988-01-01,False,Parade Ground,0,13250,1,False,1,2,0,0,0,0
Teach Me Tonight,0.285,0.294,2,-13.152,1,0.037,0.0868,3.9e-05,0.104,0.264,206.128,253133,3,124.91252,11,Breakin' Away,album,1981-01-01,False,Al Jarreau,0,15806,1,False,3,2,1,0,0,0
Secrets,0.418,0.684,4,-13.14,1,0.0514,0.00202,0.00753,0.0622,0.769,133.19,254693,1,51.8821,13,Very Best And More,album,1984-01-01,False,Mac Davis,0,14711,1,False,1,4,0,0,1,1
Switchin' To Glide/This Beat Goes On,0.631,0.794,9,-5.224,1,0.0326,0.0145,0.000111,0.133,0.8,122.06,377040,4,24.65829,17,This Beat Goes On/Switchin' to Glide (Original Demo),single,2011-11-09,False,The Kings,0,4537,1,False,6,8,1,1,1,2
Tired Of Toein' The Line,0.7,0.789,7,-9.591,1,0.033,0.612,2.72e-05,0.445,0.819,120.804,214584,4,34.93411,11,Tired of Toein' the Line,single,1980-05-10,False,Rocky Burnette,0,16042,1,False,5,5,0,0,0,0
Angel,0.752,0.593,7,-13.673,1,0.0367,0.296,0.000196,0.168,0.834,133.266,236133,4,61.0972,11,Like a Virgin,album,1984-11-12,False,Madonna,1,14395,1,False,1,3,1,0,1,0
Saat Ajube Is Duniya Mein - Dharam Veer / Soundtrack Version,0.255,0.403,0,-10.187,1,0.0448,0.567,6.4e-06,0.92,0.621,157.656,67840,4,25.01929,3,Dharam Veer (Original Motion Picture Soundtrack),compilation,1981-01-01,False,Mohammed Rafi&&Mukesh,0,15806,2,True,11,6,0,2,4,4
Traço De União,0.517,0.799,5,-8.496,0,0.0575,0.692,8.55e-06,0.0732,0.886,118.505,211627,4,28.06008,11,Traço De União,album,1982-01-01,False,Beth Carvalho,0,15441,1,False,3,3,0,0,0,0
Blue Light,0.603,0.926,9,-9.27,1,0.0494,0.108,0.0831,0.36,0.629,123.888,275827,4,23.90459,15,About Face,album,1984-03-05,False,David Gilmour,0,14647,1,False,2,2,2,1,0,0
Because Of You,0.616,0.921,2,-5.299,1,0.0788,0.00406,2.36e-05,0.343,0.468,122.933,163893,4,75.63032,5,Freestyle Mega Hits,compilation,2005-01-01,False,The Cover Girls,0,7040,1,False,3,3,0,0,1,1
Montego Bay,0.72,0.842,5,-8.076,1,0.0483,0.711,0.0,0.454,0.663,103.756,182773,4,45.38005,10,Amazulu,album,1986-01-01,False,Amazulu,0,13980,1,False,2,1,0,0,0,0
Fall In Love With Me,0.862,0.588,0,-11.363,1,0.0536,0.109,0.000452,0.0869,0.778,117.464,352067,4,20.8115,11,Powerlight,album,1982-01-01,False,"Earth, Wind & Fire",0,15441,1,False,5,1,2,1,0,0
Trouble Me,0.861,0.385,2,-10.057,1,0.0341,0.154,0.0,0.123,0.494,117.913,193560,4,84.69286,7,Blind Man's Zoo,album,1989-05-02,False,"10,000 Maniacs",1,12763,1,False,2,3,0,0,1,0
Goodbye To You,0.492,0.935,9,-6.165,1,0.0703,0.0732,3.8e-06,0.208,0.857,159.446,226493,4,30.104,11,Playlist: The Very Best Of Scandal,compilation,2008-01-01,False,Scandal,0,5945,1,False,3,6,1,0,1,1
You're My Girl,0.529,0.856,9,-6.155,1,0.0468,0.0587,0.0,0.202,0.751,124.282,182933,4,31.29006,8,Franke & The Knockouts (Original Recording Remastered),album,1981-01-01,False,Franke & The Knockouts,0,15806,1,False,3,7,1,1,2,2
Summer Of '69,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,216053,4,31.10435,10,Reckless (30th Anniversary / Deluxe Edition),album,1984-11-05,False,Bryan Adams,1,14402,1,False,3,6,1,0,3,3
The Last Mile,0.517,0.845,2,-8.856,1,0.0406,0.117,0.133,0.357,0.714,125.515,230067,4,116.60897,7,Long Cold Winter,album,1988-01-01,False,Cinderella,1,13250,1,False,3,3,0,0,1,0
The Batman Theme,0.201,0.475,11,-10.097,0,0.0417,0.659,0.916,0.0748,0.0398,73.563,158333,3,36.05006,7,Batman (Original Motion Picture Score),compilation,1989-08-08,False,Danny Elfman,1,12665,1,False,3,5,0,1,3,3
Just Between You And Me,0.511,0.308,7,-15.021,1,0.0247,0.408,2.2e-05,0.15,0.377,83.546,235560,4,25.00153,13,Nature Of The Beast,album,1981-01-01,False,April Wine,0,15806,1,False,5,4,1,1,0,0
Foolin',0.608,0.787,9,-6.703,0,0.0277,0.000337,0.00782,0.111,0.474,113.796,274118,4,32.36101,10,Pyromania,album,1983-01-20,False,Def Leppard,1,15057,1,False,1,1,0,0,0,0
The Other Side Of Life,0.665,0.334,4,-16.019,0,0.0313,0.154,0.000208,0.108,0.657,138.957,410333,3,26.75792,20,The Other Side Of Life,album,1986-01-01,False,The Moody Blues,0,13980,1,False,5,5,1,1,1,1
Kingdom Come,0.495,0.618,7,-12.505,1,0.0305,0.0338,5.39e-06,0.201,0.272,85.64,236973,4,62.53526,10,Kings of Metal,album,1988-11-01,False,Manowar,1,12945,1,False,2,3,1,1,0,1
Suicide's an Alternative / You'll Be Sorry,0.349,0.887,0,-7.631,1,0.138,0.00502,0.0,0.382,0.387,101.191,164907,4,31.73649,9,Suicidal Tendencies,album,1983-01-01,False,Suicidal Tendencies,0,15076,1,False,7,2,1,0,0,0
Let Me Be,0.718,0.398,0,-14.119,0,0.0507,0.681,9.49e-05,0.166,0.739,96.108,213520,3,44.60046,11,Lost Hits Of The 80's (Vol. 2),compilation,2012-01-01,False,Korona,0,4484,1,False,3,7,1,1,3,2
Love Can't Ever Get Better Than This,0.682,0.615,5,-9.817,1,0.0322,0.27,0.000156,0.0916,0.811,157.485,228507,4,27.81653,11,Country Gentleman: The Best Of Ricky Skaggs,compilation,1998-01-01,False,Ricky Skaggs,0,9597,1,False,7,7,2,1,2,2
Beneath The Wheel,0.479,0.762,6,-10.998,0,0.0523,8.61e-05,0.03,0.15,0.457,91.831,336200,4,53.40444,15,Thrash Zone,album,1989-10-10,False,D.R.I.,0,12602,1,False,3,2,0,0,0,1
You Are My Everything,0.712,0.558,1,-10.362,1,0.0661,0.0981,0.0,0.0618,0.831,96.018,271080,4,50.83005,11,2nd Wave (Expanded Edition),album,1988-01-01,False,Surface,0,13250,1,False,4,4,0,0,2,2
Soldier Of Love,0.498,0.95,10,-5.786,0,0.061,0.0507,0.00324,0.168,0.889,192.563,353440,4,49.83716,17,The Definitive Collection,album,2009-01-01,False,Donny Osmond,0,5579,1,False,3,3,1,1,1,1
Perdóname,0.378,0.567,2,-6.591,1,0.032,0.27,1.6e-06,0.302,0.333,133.343,232360,4,46.73522,12,Camilo Superstar,compilation,1980-01-04,False,Camilo Sesto,1,16169,1,False,1,2,0,0,0,0
Late In The Evening,0.72,0.88,5,-8.988,1,0.0406,0.199,0.0246,0.0865,0.961,118.623,242707,4,32.19116,11,One-Trick Pony,album,1980-08-01,False,Paul Simon,1,15959,1,False,4,2,0,0,0,0
Party All The Time,0.699,0.696,11,-13.045,1,0.0458,0.0098,0.000345,0.0427,0.673,135.027,253293,4,47.78978,12,How Could It Be,album,1985-02-05,False,Eddie Murphy,1,14310,1,False,4,4,2,1,0,0
One Night Stand,0.573,0.564,0,-10.965,1,0.0432,0.0348,0.0,0.0795,0.702,90.79,184267,4,57.32575,8,Farewell Song,compilation,1982-02-01,False,The Paul Butterfield Blues Band&&Janis Joplin,0,15410,2,True,3,2,1,1,0,0
This One's For The Children,0.594,0.421,7,-13.707,0,0.0312,0.198,0.0,0.0832,0.637,74.041,238467,4,139.26054,5,"Merry, Merry Christmas",album,1989-01-01,False,New Kids On The Block,0,12884,1,False,5,3,0,0,1,1
The Devil Made Me Do It,0.439,0.874,9,-6.545,1,0.0523,0.315,0.0,0.39,0.829,174.324,205733,4,52.31086,8,Very Best Of Vol. 1 - Part Two,compilation,2008-11-05,False,Golden Earring,0,5636,1,False,6,8,0,0,2,2
Elvira,0.825,0.285,8,-17.491,1,0.0326,0.188,0.00131,0.0539,0.86,126.946,225627,4,70.70866,10,Fancy Free,album,1981-01-01,False,The Oak Ridge Boys,1,15806,1,False,1,2,0,0,0,0
State of Shock,0.98,0.846,8,-7.696,0,0.139,0.283,0.149,0.052,0.891,121.562,271000,4,23.74458,10,Victory,album,1984-07-02,False,The Jacksons&&Mick Jagger,0,14528,2,True,3,1,0,0,0,0
Working For The Weekend,0.515,0.766,7,-12.768,1,0.0343,0.0249,0.00103,0.455,0.774,146.911,221000,4,42.34947,13,Get Lucky,album,1981-01-01,False,Loverboy,1,15806,1,False,4,2,0,0,0,0
No One In The World,0.595,0.557,10,-8.305,1,0.0253,0.543,0.0,0.176,0.415,90.177,246907,4,28.02644,11,80's R&B Love Songs,compilation,2017-09-18,False,Anita Baker,1,2397,1,False,5,4,1,1,2,2
Original Sin,0.689,0.629,9,-7.262,1,0.0384,0.0129,0.000213,0.0579,0.744,131.536,318547,4,27.89173,16,The Very Best Of,compilation,2018-03-02,False,INXS,0,2232,1,False,2,4,0,1,1,1
Shake It Up Tonight,0.776,0.767,8,-8.221,1,0.0487,0.163,0.000452,0.159,0.898,120.765,342440,4,40.17829,13,In The Night,album,1981-09-24,False,Cheryl Lynn,0,15540,1,False,4,3,1,0,1,1
Show Me,0.55,0.897,0,-6.927,1,0.0395,0.00062,0.0656,0.0621,0.562,139.299,253893,4,34.72689,10,Learning to Crawl (Expanded & Remastered),album,1984-01-01,False,Pretenders,0,14711,1,False,2,6,0,0,2,2
Hey Nineteen,0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000922,0.0387,0.728,119.629,307400,4,17.50015,13,Gaucho,album,1980-01-01,False,Steely Dan,0,16172,1,False,2,1,1,0,0,0
Don't Stand So Close To Me,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667,4,23.58,12,Zenyatta Mondatta (Remastered 2003),album,1980-10-03,False,The Police,1,15896,1,False,6,4,1,1,1,1
Got A Hold On Me,0.75,0.787,4,-5.127,1,0.0292,0.144,1.88e-05,0.0513,0.718,129.37,232907,4,47.33763,9,Christine McVie,album,1984-01-01,False,Christine McVie,1,14711,1,False,5,2,2,1,0,0
Defunto Caguete,0.704,0.71,1,-6.257,1,0.0854,0.478,0.0,0.089,0.962,92.238,190453,4,69.09982,8,É Esse Aí Que é o Homem,album,1984-01-19,False,Bezerra Da Silva,1,14693,1,False,2,7,0,0,0,0
Boom Boom (Let's Go Back To My Room),0.773,0.959,11,-4.645,0,0.0329,0.16,8.32e-05,0.0737,0.979,130.014,281420,4,52.89557,12,"Boom, Boom (Let's Go Back To My Room) (Re-Recorded / Remastered Version)",single,2010-05-01,False,Paul Lekakis,0,5094,1,False,8,12,1,1,3,2
Missing You,0.644,0.355,4,-11.41,0,0.0366,0.658,0.00116,0.0485,0.187,86.822,245347,4,21.72924,12,Swept Away (Expanded Edition),album,1984-09-13,False,Diana Ross,0,14455,1,False,2,4,0,0,2,2
Shake It Up,0.692,0.74,0,-7.466,1,0.0329,0.0723,8.83e-05,0.136,0.864,147.274,215440,4,25.60679,10,Club Rock,compilation,2019-12-27,False,The Cars,0,1567,1,False,3,2,0,0,1,1
Books About UFOs,0.25,0.822,0,-9.931,1,0.036,0.0678,3.91e-05,0.345,0.658,154.339,169773,4,32.74322,7,New Day Rising,album,1985-01-01,False,Hüsker Dü,0,14345,1,False,3,3,0,0,2,1
Because You're Frightened - Remastered 2007,0.488,0.862,7,-8.052,1,0.0371,0.00275,0.193,0.329,0.617,89.817,237653,4,23.28735,12,The Correct Use Of Soap,album,1980-01-01,False,Magazine,0,16172,1,False,6,5,0,1,0,0
New Girl Now,0.589,0.768,9,-11.493,1,0.0417,0.104,0.0,0.0897,0.694,109.127,216693,4,60.51902,9,Honeymoon Suite,album,1984-06-14,False,Honeymoon Suite,1,14546,1,False,3,2,2,2,0,0
M & O Blues,0.654,0.268,1,-12.75,1,0.0304,0.77,6.27e-06,0.111,0.478,94.064,203027,4,16.93611,10,I've Got A Rock In My Sock,album,1986-01-01,False,Rory Block,0,13980,1,False,4,7,0,1,1,1
An Innocent Man,0.509,0.382,0,-9.441,1,0.0351,0.0466,0.0,0.112,0.427,105.764,318000,4,46.94942,14,An Innocent Man,album,1983-08-08,False,Billy Joel,1,14857,1,False,3,3,1,1,1,0
Old Time Rock & Roll,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,4,32.15503,9,Stranger In Town,album,1978-05-05,False,Bob Seger,1,16778,1,False,5,3,3,4,0,0
Navigating Flood Regions,0.336,0.414,11,-15.546,1,0.037,0.000513,0.67,0.118,0.457,79.341,158867,4,35.90323,6,Self-Inflicted Aerial Nostalgia,album,1989-01-01,False,Guided By Voices,0,12884,1,False,3,3,0,0,0,0
Boy Blue,0.757,0.604,0,-13.324,1,0.0292,0.0986,0.0431,0.085,0.916,119.856,286667,4,32.15857,13,True Colors,album,1986-10-14,False,Cyndi Lauper,0,13694,1,False,2,2,2,1,0,0
You're A Customer,0.854,0.618,11,-4.165,1,0.345,0.0245,1.33e-06,0.0682,0.86,93.796,322400,4,26.05412,13,Strictly Business,album,1988-06-07,False,EPMD,0,13092,1,False,3,2,0,0,0,0
Rosanna,0.384,0.512,7,-13.035,0,0.0358,0.0213,0.000139,0.205,0.739,78.442,331200,4,44.14193,15,Toto IV,album,1982-04-08,False,TOTO,1,15344,1,False,1,2,0,0,0,0
You've Gotta Believe (Vocal),0.862,0.768,0,-6.167,0,0.0477,0.0107,0.00108,0.275,0.796,106.824,320684,4,43.68049,16,You've Gotta Believe,single,1983-01-01,False,Lovebug Starski,0,15076,1,False,4,3,2,1,0,0
Memories,0.345,0.199,6,-22.02,0,0.0387,0.761,0.982,0.0695,0.222,140.86,73640,4,44.42313,4,Odyssey,album,1988-01-01,False,Yngwie Malmsteen,0,13250,1,False,1,1,0,0,0,0
Didn't Know It Was Love,0.613,0.683,2,-11.156,1,0.0332,0.122,0.0,0.241,0.637,128.416,262800,4,22.03159,11,Too Hot to Sleep,album,1988-09-25,False,Survivor,0,12982,1,False,5,4,2,2,1,1
Stone Cold,0.411,0.535,7,-11.743,1,0.031,0.0129,7.32e-05,0.168,0.742,112.567,317307,4,48.52727,13,The Very Best Of Rainbow,compilation,1997-07-15,False,Rainbow,0,9767,1,False,2,5,0,0,1,1
Sexy Mexican Maid - Remastered,0.537,0.949,2,-4.871,1,0.16,0.00591,0.000898,0.105,0.564,88.601,202093,4,95.28024,6,Mother's Milk,album,1989-08-16,False,Red Hot Chili Peppers,0,12657,1,False,5,2,0,1,0,0
You Take Me Up,0.7,0.548,5,-13.849,1,0.0442,0.587,0.0,0.0699,0.854,104.556,266160,4,29.60119,11,Into The Gap,album,1984-10-01,False,Thompson Twins,0,14437,1,False,4,3,0,0,0,0
Check It Out,0.608,0.834,0,-3.585,1,0.0238,0.0176,1.8e-05,0.12,0.614,105.782,259227,4,23.90318,11,The Lonesome Jubilee,album,1987-01-01,False,John Mellencamp,1,13615,1,False,3,3,0,0,0,0
Go Insane,0.724,0.665,5,-12.048,0,0.0314,0.0309,2.36e-05,0.181,0.942,111.362,185333,4,36.31661,9,Go Insane,album,1984-08-15,False,Lindsey Buckingham,0,14484,1,False,2,2,0,0,0,0
The Men All Pause,0.789,0.702,7,-12.603,1,0.0542,0.0603,0.454,0.0466,0.748,120.118,435333,4,44.95966,18,Meeting In The Ladies Room,album,1984-01-01,False,Klymaxx&&Louil Silas Jr.,0,14711,2,True,4,5,0,0,0,0
Tristan in der Bar,0.332,0.0987,9,-21.883,1,0.0374,0.949,0.894,0.102,0.44,67.351,175213,3,56.05809,7,Curiosum,album,1981-01-01,False,Cluster,0,15806,1,False,4,1,0,0,0,0
Maybe This Day,0.687,0.404,4,-12.876,0,0.0855,0.173,0.00184,0.113,0.378,122.015,217920,4,28.54597,10,Naked,album,1983-01-01,False,Kissing The Pink,0,15076,1,False,3,1,1,1,0,0
Time To Turn,0.647,0.3,9,-12.459,0,0.0321,0.162,0.00586,0.105,0.428,86.104,274933,4,30.1683,11,Time To Turn,album,1982-01-01,False,Eloy,0,15441,1,False,3,3,1,1,1,1
Damned If I Do,0.556,0.639,7,-8.802,0,0.0382,0.732,0.00214,0.128,0.567,134.721,292840,4,51.8457,13,Eve (Expanded Edition),album,1979-08-27,False,The Alan Parsons Project,0,16299,1,False,4,3,0,0,2,2
I Can't Wait,0.785,0.844,7,-4.63,0,0.0574,0.166,0.002,0.0681,0.94,103.968,218827,4,46.58348,8,I Can't Wait: Collected,album,2019-03-15,False,Nu Shooz,1,1854,1,False,3,4,1,0,0,0
White Horse,0.812,0.554,7,-10.978,1,0.0567,0.00254,0.698,0.0558,0.785,123.289,237320,4,24.65741,11,Good Vibes - The Very Best of Laid Back,compilation,2008-10-06,False,Laid Back,0,5666,1,False,2,9,0,0,2,2
You're Supposed To Keep Your Love For Me,0.702,0.417,6,-16.303,1,0.029,0.739,0.00043,0.158,0.824,137.452,334707,3,59.67658,16,Jackson 5 - Dell Bundle (100 Track Dell Bundle),album,2009-01-01,False,Jermaine Jackson,0,5579,1,False,8,9,1,1,0,0
Lipstick,0.686,0.7,9,-8.196,1,0.0385,0.0607,1.68e-05,0.0512,0.967,132.302,250760,4,48.37753,8,Rock Hard,album,1980-01-01,False,Suzi Quatro,0,16172,1,False,1,2,0,0,2,1
Slipstream,0.751,0.509,2,-15.408,1,0.035,0.215,0.000894,0.0414,0.948,119.221,274547,4,61.11905,12,Legendary Heroes,album,1980-01-01,False,Allan Clarke,0,16172,1,False,1,2,0,0,0,0
Sugar Walls,0.744,0.55,10,-12.689,1,0.0554,0.0746,4.2e-05,0.0353,0.853,126.51,241600,4,29.87485,10,A Private Heaven [Bonus Tracks Version],album,1984-01-01,False,Sheena Easton,0,14711,1,False,2,6,0,0,2,1
I Don't Want Your Love,0.697,0.659,7,-12.474,1,0.053,0.00848,0.000257,0.099,0.747,108.997,246387,4,44.01954,9,Big Thing (Deluxe Edition),album,1988-10-18,False,Duran Duran,0,12959,1,False,5,4,3,2,3,3
Holdin' On,0.512,0.668,7,-7.942,0,0.0486,0.114,0.000795,0.0974,0.447,142.81,191650,4,41.21832,8,Tane Cain,album,1982-01-01,False,Tane Cain,0,15441,1,False,2,2,0,0,0,0
Animal,0.583,0.921,11,-5.215,1,0.0468,0.00153,0.0178,0.188,0.613,119.526,244560,4,17.38074,12,Hysteria,album,1987-08-03,False,Def Leppard,1,13401,1,False,1,1,0,0,0,0
Sentado Al Borde De Ti,0.655,0.82,7,-9.742,1,0.0356,0.609,0.000116,0.108,0.77,139.192,176333,4,22.23876,8,Dibujos Animados,album,1985-01-01,False,Nacha Pop,0,14345,1,False,5,2,0,1,0,0
Cum On Feel The Noize,0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,287400,4,72.59731,10,Quiet Riot - Greatest Hits,compilation,1996-01-01,False,Quiet Riot,1,10328,1,False,5,5,1,1,2,2
I Don't Want To Talk About It,0.472,0.373,3,-12.98,1,0.0262,0.872,0.206,0.147,0.459,135.193,288267,4,15.68422,17,Atlantic Crossing,album,1975-01-01,False,Rod Stewart,1,17998,1,False,7,2,3,1,0,0
Rock And Roll Girls,0.794,0.73,7,-6.067,1,0.0332,0.0538,0.000832,0.0826,0.767,128.999,206640,4,79.03357,7,Centerfield - 25th Anniversary,album,2010-06-29,False,John Fogerty,0,5035,1,False,4,4,3,2,1,1
Rock & Roll (Is Gonna Set The Night On Fire),0.412,0.871,9,-9.56,1,0.0444,0.00143,2.8e-06,0.318,0.461,162.942,194400,4,24.73022,10,Leather Boyz With Electric Toyz,album,1989-01-01,False,Pretty Boy Floyd,0,12884,1,False,10,5,4,3,0,0
Sixteen Tons,0.798,0.312,11,-16.142,0,0.075,0.618,0.0,0.144,0.388,135.395,177627,4,41.30774,9,The Merle Travis Story,album,1989-11-30,False,Merle Travis,0,12551,1,False,2,4,0,0,1,0
One Big Rush,0.379,0.964,9,-4.343,1,0.112,0.00263,0.832,0.0356,0.58,172.149,206507,4,27.29661,10,Flying In A Blue Dream,album,1989-10-30,False,Joe Satriani,0,12582,1,False,3,5,0,1,2,0
Psycho,0.22,0.828,7,-13.624,1,0.0533,6.4e-06,0.323,0.772,0.39,162.425,214587,4,24.8476,10,The Dark,album,1986-09-30,False,Metal Church,0,13708,1,False,1,2,0,0,1,0
Somethin' 'Bout You Baby I Like,0.847,0.886,2,-9.301,1,0.0304,0.16,0.0106,0.0657,0.964,119.233,166200,4,18.65054,11,The Legacy (1961-2017),album,2019-06-21,False,Glen Campbell&&Rita Coolidge,0,1756,2,True,6,3,2,2,0,0
Mi Mundo,0.437,0.606,5,-8.957,1,0.0352,0.543,1.81e-05,0.189,0.839,170.059,283144,4,38.24691,16,Colección De Oro,album,1988-01-01,False,Luis Enrique,0,13250,1,False,2,3,0,1,0,0
Haiyo Paththikkichchu (Fire),0.765,0.468,11,-10.591,0,0.206,0.349,0.0,0.124,0.581,83.866,319147,4,38.99149,14,Rhythm (Original Motion Picture Soundtrack),single,1988-12-01,False,Udit Narayan&&Vasundhara Das,0,12915,2,True,3,5,0,0,4,4
Sweet Love,0.504,0.728,10,-5.699,0,0.0234,0.36,0.0,0.159,0.683,89.255,266201,4,45.97006,11,80's The Collection,compilation,2017-06-23,False,Anita Baker,0,2484,1,False,2,3,2,1,1,1
8th Wonder,0.871,0.937,1,-8.536,1,0.195,0.298,0.0,0.634,0.675,106.494,446507,4,27.66585,16,8th Wonder,album,1981-01-01,False,The Sugarhill Gang,0,15806,1,False,2,2,0,0,0,0
Quand la musique est bonne,0.728,0.742,7,-5.969,0,0.038,0.0564,0.0,0.0757,0.799,127.749,232440,4,36.08569,10,Quand la musique est bonne,album,1982-09-27,False,Jean-Jacques Goldman,1,15172,1,False,5,5,1,1,0,1
Johnny Can't Read,0.624,0.957,10,-6.388,1,0.0379,0.159,0.0,0.0355,0.971,157.72,213787,4,61.96692,8,I Can't Stand Still,album,1982-08-13,False,Don Henley,0,15217,1,False,3,4,0,0,0,0
Centerfold,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4,42.84621,8,Freeze Frame,album,1981-01-01,False,The J. Geils Band,1,15806,1,False,1,2,0,0,0,0
Let's Groove,0.54,0.972,4,-5.224,0,0.11,0.00997,0.00338,0.92,0.335,131.837,385427,4,38.08626,18,Live In Japan,album,2008-08-11,False,"Earth, Wind & Fire",0,5722,1,False,2,3,1,1,1,1
Quisiera Morir Contigo,0.275,0.2,0,-20.329,1,0.0772,0.781,0.0,0.199,0.219,175.286,178867,3,31.29231,8,15 Exitos Originales Con Rocio Jurado,album,1984-03-11,False,Rocío Jurado,0,14641,1,False,3,6,0,0,0,1
Never Say Die (Give A Little Bit More),0.756,0.643,8,-6.361,0,0.0382,0.0242,0.000495,0.128,0.841,101.728,222200,4,42.29376,8,Silver,album,1983-01-01,False,Cliff Richard,0,15076,1,False,8,1,2,2,0,0
Woman In Chains,0.434,0.609,5,-8.295,1,0.0306,0.0232,0.00108,0.0557,0.372,159.994,391000,4,26.13284,14,The Seeds Of Love,album,1989-09-25,False,Tears For Fears&&Oleta Adams,0,12617,2,True,3,4,1,0,1,1
Glamour Boys,0.511,0.913,0,-4.379,0,0.0323,0.0273,0.00569,0.0864,0.856,121.451,220133,4,49.87289,9,Vivid (Expanded Edition),album,1988-01-01,False,Living Colour,0,13250,1,False,2,3,0,0,2,2
A Portrait Destroyed By Fire,0.413,0.864,9,-7.434,1,0.0642,0.487,0.0712,0.18,0.189,107.147,309600,4,57.22904,14,Devil Between My Toes,album,1987-01-01,False,Guided By Voices,0,13615,1,False,5,4,0,0,0,0
Gold,0.691,0.802,0,-5.982,1,0.039,0.196,0.000121,0.279,0.617,134.368,402493,4,35.61145,25,Vier,album,1981-01-23,False,Ton Steine Scherben,0,15784,1,False,1,1,0,0,0,0
Dead Giveaway,0.651,0.866,0,-9.069,1,0.0317,0.0517,5.95e-05,0.121,0.962,149.258,303680,4,38.25151,19,The Look,album,1983-01-01,False,Shalamar,0,15076,1,False,2,2,0,1,0,0
Run To Paradise,0.698,0.71,9,-8.569,1,0.0452,0.161,0.0828,0.0489,0.691,138.797,251587,4,26.60689,14,Australia Rocks,compilation,2017-07-05,False,Choirboys,0,2472,1,False,3,2,1,0,0,0
Cover Me,0.535,0.884,9,-5.499,0,0.0407,0.00188,0.00126,0.14,0.796,120.555,205987,4,24.88185,12,Born In The U.S.A.,album,1984-06-04,False,Bruce Springsteen,1,14556,1,False,2,4,0,0,1,0
Schooling (Put Your Mind to the Message),0.857,0.806,0,-6.098,0,0.274,0.666,6.62e-06,0.188,0.844,109.967,451827,4,35.65188,14,Schooling (Put Your Mind to the Message),single,1980-03-15,False,Sherod,0,16098,1,False,7,7,1,1,1,0
Der Kampf geht weiter,0.264,0.978,11,-5.554,0,0.127,0.000722,6.68e-06,0.714,0.311,148.94,226533,4,21.0325,9,Live Pankehallen 21.01.1984,album,1984-01-01,False,Slime,0,14711,1,False,4,3,0,0,1,1
Summertime Girls,0.431,0.698,4,-11.626,1,0.0336,0.00185,2.64e-06,0.232,0.774,128.932,209067,4,30.92715,12,Best Of '81 To '85,compilation,1990-01-01,False,Y&T,0,12519,1,False,2,5,1,0,1,1
